Particle + 	 + Loop + 	 + Mean + 	 + STDDEV + 	 + Max + 	 + Min + 
10	10	8.87324585545453	6.748870657670455	60.11482892481406	0.08648755298672768
20	10	8.762041250726943	6.38955878389032	38.14712685666039	0.2605714091722007
30	10	9.118421050409625	6.457787200639047	48.93780217423573	0.39174656445079375
40	10	9.448435552600401	6.405958492094166	41.196966097507946	0.7030072730151389
50	10	9.46807964957483	6.469312727446342	43.451600108227325	0.792637278562845
100	10	10.416210999459661	6.623766801666851	48.32425379355554	0.9027108239137618
130	10	10.70666802667879	6.734072222642997	49.406522867084	1.369559576884516
160	10	11.604857729359706	6.932656494847989	50.49905401162365	1.8112514383332303
200	10	11.965485055944091	7.220671167291542	58.223208644292974	2.542798967185599
10	30	6.7271906052888255	5.418411970949081	32.9639311328015	0.09600206528848218
20	30	7.903608632299509	5.832919711974562	34.96989158595768	0.18418078284634304
30	30	8.140747405025055	5.862896478237873	38.82545706288015	0.4036699917624939
40	30	8.686961660893939	6.159116886246064	36.95843921744906	0.6666623440419179
50	30	8.956804237054321	6.280205717584096	37.896390309301474	0.6561110534310427
100	30	10.68245178121831	6.8965353455573215	55.445547036180706	0.7892615296473334
130	30	10.324784932092287	6.470117315945698	44.786375864192664	1.2653178232494295
160	30	10.857544605883325	6.753628027022802	53.53088376076047	1.9588638558799094
200	30	11.555237128935206	6.994153763660458	54.05599974417181	2.4658517446871473
10	60	6.346993182813637	5.198776018390949	30.436736465806018	0.07680848573852188
20	60	7.027489240503512	5.478258238540436	31.935575050809085	0.181554838535655
30	60	7.797613434273701	5.764911541520635	36.551200824350204	0.39024629221932705
40	60	8.447758419684288	6.059082521809308	35.712916157600965	0.5057258724811611
50	60	8.779474190095431	6.217308966008285	39.90116384121108	0.6071845679459557
100	60	9.572791881372323	6.416521594928865	39.98324853060161	0.817020874889844
130	60	10.209170549341932	6.500662154267774	43.082370268693545	1.32259634589694
160	60	10.6154027035972	6.647320562220165	47.544348483392966	1.7529979036894
200	60	11.433934073188757	6.90760583854494	53.313275382971575	2.369323025639653
10	90	6.254884036431467	5.166290310823348	32.237995737707	0.08406283953053731
20	90	6.8980942981003155	5.439563581039189	31.761535956831818	0.2361374972066713
30	90	7.545726192390583	5.69092369420306	34.73935749844342	0.29843327138775444
40	90	8.453623105259833	6.041368945449975	36.22868101439464	0.614131886637994
50	90	8.724656524318494	6.193136170963915	37.1280818249749	0.5449877706236174
100	90	9.472933253983578	6.4232041515613725	43.92901474872865	0.79830472861482
130	90	9.891508415682384	6.448461580267274	42.16149055146037	1.1585581307107893
160	90	10.597366201714365	6.7003961245617285	47.055175757152746	1.7657291716911108
200	90	11.279257313264905	6.839029303315925	53.1894804302206	2.427849343828388
10	100	6.231554102114953	5.157650147222533	30.718628366581004	0.09286915824952757
20	100	6.947502692822539	5.440319690678093	32.493788501364826	0.1369844791134099
30	100	7.506194582900322	5.6743350864960655	34.72316311330089	0.32618801260762115
40	100	8.334088636964204	6.012725501642688	36.621189025400575	0.5858595820777133
50	100	8.701104275371147	6.196974489478076	37.23202919694489	0.692703515388414
100	100	9.53924997919056	6.4926714346125864	53.46400014468629	0.7879626694259909
130	100	9.789106054478719	6.416281865341444	42.06578805735942	1.052096868715169
160	100	10.554154751010495	6.819683479140114	45.025625071850165	1.4369592973390368
200	100	11.249087803849747	6.820824593357804	50.89630452238892	1.9543485754575796
